"","Genus_spp","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"59","Phleum_alpinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0.00318309886183791
"60","Phlox_diffusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"61","Picea_engelmannii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Pinguicula_vulgaris",0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,8.00870660544692
"63","Pinus_albicaulis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0.000209276716754629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201036446032415
"64","Platanthera_dilatata",0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0.0198943678864869,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00318309886183791,0,0,0,0,8,0,0,2,0,0,0,0,0,13.0584452318799
"65","poa_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.00263066021639496,0,0,0,0,0,0,0,0,0,0,0,0.502630660216395
"66","Poa_",0,0,0,0,0,0,0.0127323954473516,1,9,0,0,0,0,0,0,0,0,0.0127323954473516,0.00141471060526129,0.0707355302630646,0.00141471060526129,4.00079577471546,0,0,0,0,0,0.0552621330180192,0.0795774715459477,0,0.080992182151209,0,0,0,0,0,0,0,1,0,15.3156573037989
"67","Poa_alpina",0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5,0,0,0,0,0,0,0,8
"68","Polystichium_",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477
"69","Polystichum_lonchitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5
"70","Populus_trichocarpa",0,0.00141471060526129,0,0.000657665054098741,0.00103937922019197,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0.0127323954473516,0,0.00263066021639496,0.0353677651315323,0,0,0,0,0,0,0.0795774715459477,0,0.0127323954473516,0.147457513201484
"71","Potentilla_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0.00141471060526129
"72","Ranunculus_eschscholtzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367824757367936
"73","Rhododendron_albiflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.00884194128288308,0,0,0,0,0,0.00141471060526129,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,1.51418640356943
"74","Ribes_",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516
"75","Ribes_spp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,2,0,0,0,0,0,0,2.03536776513153
"76","Sagina_saginoides",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"77","Salix_arctica",0,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0.000721791125133312,0.0127323954473516,0,0.000795774715459477,0,0.5,0,0,0.000353677651315323,0,0,0.00318309886183791,0,0,0,0.00221048532072077,0,0.0795774715459477,0,0,0,0,0,0.0509295817894065,0,0,0,0,0.653687375319011
